fold,task,model,feature_set,unseen_user_count,accuracy,precision_macro,recall_macro,f1_macro,mae,rmse
1,fatigue_proxy,baseline_most_frequent,lagged,5,0.22916666666666666,0.07638888888888888,0.3333333333333333,0.12429378531073447,,
1,fatigue_proxy,logistic_regression,lagged,5,0.8020833333333334,0.793123543123543,0.8293512043512044,0.8038918393910389,,
1,fatigue_proxy,random_forest,lagged,5,0.8020833333333334,0.80357458465889,0.8327991452991452,0.8058860664532147,,
1,fatigue_proxy,xgboost,lagged,5,0.7916666666666666,0.8014005602240896,0.8141025641025642,0.7894409937888199,,
1,next_day_activity,baseline_mean,lagged,5,,,,,57.08958333333334,73.1369178322412
1,next_day_activity,random_forest,lagged,5,,,,,62.62427006753629,78.81770856072325
1,next_day_activity,xgboost,lagged,5,,,,,60.06615670522054,76.84275996762982
2,fatigue_proxy,baseline_most_frequent,lagged,5,0.35714285714285715,0.11904761904761905,0.3333333333333333,0.17543859649122806,,
2,fatigue_proxy,logistic_regression,lagged,5,0.8452380952380952,0.8756798756798757,0.8440781440781441,0.8501232377008775,,
2,fatigue_proxy,random_forest,lagged,5,0.7976190476190477,0.8363847718686429,0.7998778998778998,0.7935283709046473,,
2,fatigue_proxy,xgboost,lagged,5,0.8333333333333334,0.866303690260133,0.834004884004884,0.8293919588037234,,
2,next_day_activity,baseline_mean,exponentially_weighted,5,,,,,65.92040420819491,87.64510935507376
2,next_day_activity,random_forest,exponentially_weighted,5,,,,,68.90309159533533,92.09534483018119
2,next_day_activity,xgboost,exponentially_weighted,5,,,,,70.15470286778041,93.86578600691773
3,fatigue_proxy,baseline_most_frequent,lagged,5,0.40229885057471265,0.13409961685823754,0.3333333333333333,0.1912568306010929,,
3,fatigue_proxy,logistic_regression,lagged,5,0.8850574712643678,0.9121863799283155,0.9070175438596492,0.9078282828282829,,
3,fatigue_proxy,random_forest,lagged,5,0.8620689655172413,0.864397040867629,0.8616541353383459,0.8612898612898613,,
3,fatigue_proxy,xgboost,lagged,5,0.8735632183908046,0.8719298245614034,0.8704260651629072,0.8701891715590345,,
3,next_day_activity,baseline_mean,exponentially_weighted,5,,,,,81.86785009861933,101.83709772263099
3,next_day_activity,random_forest,exponentially_weighted,5,,,,,84.37649512988908,106.70088900652215
3,next_day_activity,xgboost,exponentially_weighted,5,,,,,85.77636595978134,107.59057939314101
4,fatigue_proxy,baseline_most_frequent,lagged,5,0.33707865168539325,0.11235955056179775,0.3333333333333333,0.1680672268907563,,
4,fatigue_proxy,logistic_regression,lagged,5,0.9101123595505618,0.9270756343927076,0.9008130081300814,0.9107216180386911,,
4,fatigue_proxy,random_forest,lagged,5,0.8539325842696629,0.8599369296833065,0.8304426377597109,0.842520432250335,,
4,fatigue_proxy,xgboost,lagged,5,0.8539325842696629,0.8616161616161616,0.833423667570009,0.8449792038027333,,
4,next_day_activity,baseline_mean,exponentially_weighted,5,,,,,62.08416874116935,82.58174875825995
4,next_day_activity,random_forest,exponentially_weighted,5,,,,,61.43180421454326,81.83847336752339
4,next_day_activity,xgboost,exponentially_weighted,5,,,,,61.243391915653525,81.70290174036154
5,fatigue_proxy,baseline_most_frequent,lagged,5,0.39473684210526316,0.13157894736842105,0.3333333333333333,0.18867924528301885,,
5,fatigue_proxy,logistic_regression,lagged,5,0.8026315789473685,0.8302487269878575,0.7926767676767676,0.8021928431749427,,
5,fatigue_proxy,random_forest,lagged,5,0.7894736842105263,0.8696969696969696,0.7679292929292929,0.7844341667871081,,
5,fatigue_proxy,xgboost,lagged,5,0.7894736842105263,0.8394062078272605,0.7734848484848484,0.7799999999999999,,
5,next_day_activity,baseline_mean,rolling_windows,5,,,,,86.40350877192982,106.17473212911845
5,next_day_activity,random_forest,rolling_windows,5,,,,,87.18408637882169,107.39525430144532
5,next_day_activity,xgboost,rolling_windows,5,,,,,86.90936560379832,108.33816101921062
